CODOP	Operandos	Addr. Mode	Source Form	Bytes por calcular	Total de Bytes
BNE	rel8	REL	26 rr	1	2
BPL	rel8	REL	2A rr	1	2
BRA	rel8	REL	20 rr	1	2
BRCLR	"opr8a, msk8, rel8"	BRCLR	4F dd mm rr	3	4
BRCLR	" opr16a, msk8, rel8"	EXT	1F hh ll mm rr	4	5
BRCLR	" oprx0_xysp, msk8, rel8"	IDX	0F xb mm rr	3	4
BRCLR	" oprx9,xysp, msk8, rel8"	IDX1	0F xb ff mm rr	4	5
BRCLR	" oprx16,xysp, msk8, rel8"	IDX2	0F xb ee ff mm rr	5	6
BRN	 rel8	REL	 21 rr	1	2
BRSET	"opr8, msk8, rel8"	DIR	4E dd mm rr	3	4
BRSET	" opr16a, msk8, rel8"	EXT	1E hh ll mm rr	4	5
BRSET	" oprx0_xysp, msk8, rel8"	IDX	0E xb mm rr	3	4
BRSET	"oprx9,xysp, msk8, rel8"	IDX1	0E xb ff mm rr	4	5
BRSET	" oprx16,xysp, msk8, rel8"	IDX2	0E xb ee ff mm rr	5	6
BSET	"opr8, msk8"	DIR	4C dd mm	2	3
BSET	"opr16a, msk8"	EXT	1C hh ll mm	3	4
BSET	"oprx0_xysp, msk8"	IDX	0C xb mm	2	3
BSET	"oprx9,xysp, msk8"	IDX1	0C xb ff mm	3	4
BSET	"oprx16,xysp, msk8"	IDX2	0C xb ee ff mm	4	5
BSR 	rel8	REL	07 rr	1	2
BVC	rel8	REL	28 rr	1	2
BVS	rel8	REL	29 rr	1	2
CALL	"opr16a, page"	EXT	4A hh ll pg	3	4
CALL	"oprx0_xysp, page"	IDX	4B xb pg	2	3
CALL	"oprx9,xysp, page"	IDX1	4B xb ff pg	3	4
CALL	"oprx16,xysp, page"	IDX2	4B xb ee ff pg	4	5
CALL	"[D,xysp]"	"[D,IDX]"	4B xb	1	2
CALL	" [oprx16, xysp]"	[IDX2]	4B xb ee ff	3	4
CBA	-	INH	18 17	0	2
CLC	-	IMM	10 FE	0	2
CLI	-	IMM	10 EF	0	2
CLR	opr16a	EXT	79 hh ll	2	3
CLR	oprx0_xysp	IDX	69 xb	1	2
CLR	"oprx9,xysp"	IDX1	69 xb ff	2	3
CLR	"oprx16,xysp"	IDX2	69 xb ee ff	3	4
CLR	" [D,xysp]"	"[D,IDX]"	69 xb	1	2
CLR	"[oprx16,xysp]"	[IDX2]	69 xb ee ff	3	4
CLRA	-	INH	87	0	1
CLRB	-	INH	C7	0	1
CLV	-	IMM	10 FD	0	2
CMPA	#opr8i	IMM	81 ii	1	2
CMPA	opr8a	DIR	91 dd	1	2
CMPA	opr16a	EXT	B1 hh ll	2	3
CMPA	oprx0_xysp	IDX	A1 xb	1	2
CMPA	"oprx9,xysp"	IDX1	A1 xb ff	2	3
CMPA	"oprx16,xysp"	IDX2	A1 xb ee ff	3	4
CMPA	"[D,xysp]"	"[D,IDX]"	A1 xb	1	2
CMPA	" [oprx16,xysp]"	[IDX2]	A1 xb ee ff	3	4
CMPB	#opr8i	IMM	C1 ii	1	2
CMPB	opr8a	DIR	D1 dd	1	2
CMPB	opr16a	EXT	F1 hh ll	2	3
CMPB	oprx0_xysp	IDX	E1 xb	1	2
CMPB	"oprx9,xysp"	IDX1	E1 xb ff	2	3
CMPB	"oprx16,xysp"	IDX2	E1 xb ee ff	3	4
CMPB	"[D,xysp]"	"[D,IDX]"	E1 xb	1	2
CMPB	" [oprx16,xysp]"	[IDX2]	E1 xb ee ff	3	4
COM	opr16a	EXT	71 hh ll	2	3
COM	oprx0_xysp	IDX	61 xb	1	2
COM	"oprx9,xysp"	IDX1	61 xb ff	2	3
COM	"oprx16,xysp"	IDX2	61 xb ee ff	3	4
COM	"[D,xysp]"	"[D,IDX]"	61 xb	1	2
COM	" [oprx16,xysp]"	[IDX2]	61 xb ee ff	3	4
COMA	-	INH	41	0	1
COMB	-	INH	51	0	1
CPD	#opr16i	IMM	8C jj kk	2	3
CPD	opr8a	DIR	9C dd	1	2
CPD	opr16a	EXT	BC hh ll	2	3
CPD	oprx0_xysp	IDX	AC xb	1	2
CPD	"oprx9,xysp"	IDX1	AC xb ff	2	3
CPD	"oprx16,xysp"	IDX2	AC xb ee ff	3	4
CPD	"[D,xysp]"	"[D,IDX]"	AC xb	1	2
CPD	" [oprx16,xysp]"	[IDX2]	AC xb ee ff	3	4
CPS	#opr16i	IMM	8F jj kk	2	3
CPS	opr8a	DIR	9F dd	1	2
CPS	opr16a	EXT	BF hh ll	2	3
CPS	oprx0_xysp	IDX	AF xb	1	2
CPS	"oprx9,xysp"	IDX1	AF xb ff	2	3
CPS	"oprx16,xysp"	IDX2	AF xb ee ff	3	4
CPS	"[D,xysp]"	"[D,IDX]"	AF xb	1	2
CPS	" [oprx16,xysp]"	[IDX2]	AF xb ee ff	3	4
CPX	#opr16i	IMM	8E jj kk	2	3
CPX	opr8a	DIR	9E dd	1	2
CPX	opr16a	EXT	BE hh ll	2	3
CPX	oprx0_xysp	IDX	AE xb	1	2
CPX	"oprx9,xysp"	IDX1	AE xb ff	2	3
CPX	"oprx16,xysp"	IDX2	AE xb ee ff	3	4
CPX	"[D,xysp]"	"[D,IDX]"	AE xb	1	2
CPX	" [oprx16,xysp]"	[IDX2]	AE xb ee ff	3	4
CPY	#opr16i	IMM	8D jj kk	2	3
CPY	opr8a	DIR	9D dd	1	2
CPY	opr16a	EXT	BD hh ll	2	3
CPY	oprx0_xysp	IDX	AD xb	1	2
CPY	"oprx9,xysp"	IDX1	AD xb ff	2	3
CPY	"oprx16,xysp"	IDX2	AD xb ee ff	3	4
CPY	"[D,xysp]"	"[D,IDX]"	AD xb	1	2
CPY	" [oprx16,xysp]"	[IDX2]	AD xb ee ff	3	4
DAA	-	INH	18 07	0	2
DBEQ	"abdxys, rel9"	REL (9-bit)	04 lb rr	2	3
DBNE	" abdxys, rel9"	REL (9-bit)	04 lb rr	2	3
DEC	 opr16a	EXT	73 hh ll	2	3
DEC	 oprx0_xysp	IDX	63 xb	1	2
DEC	"oprx9,xysp"	IDX1	63 xb ff	2	3
DEC	"oprx16,xysp"	IDX2	63 xb ee ff	3	4
DEC	" [D,xysp]"	"[D,IDX]"	63 xb	1	2
DEC	" [oprx16,xysp]"	[IDX2]	63 xb ee ff	3	4
DECA	-	INH	43	0	1
DECB	-	INH	53	0	1
DES	-	IDX	1B 9F	0	2
DEX	-	INH	09	0	1
DEY	-	INH	03	0	1
EDIV	-	INH	11	0	1
EDIVS	-	INH	18 14	0	2
EMACS	opr16a 	Special	18 12 hh ll	2	4
EMAXD	oprx0_xysp	IDX	18 1A xb	1	3
EMAXD	"oprx9,xysp"	IDX1	18 1A xb ff	2	4
EMAXD	"oprx16,xysp"	IDX2	18 1A xb ee ff	3	5
EMAXD	"[D,xysp]"	"[D,IDX]"	18 1A xb	1	3
EMAXD	"[oprx16,xysp]"	[IDX2]	18 1A xb ee ff	3	5
EMAXM	oprx0_xysp	IDX	18 1E xb	1	3
EMAXM	"oprx9,xysp"	IDX1	18 1E xb ff	2	4
EMAXM	"oprx16,xysp"	IDX2	18 1E xb ee ff	3	5
EMAXM	"[D,xysp]"	"[D,IDX]"	18 1E xb	1	3
EMAXM	"[oprx16,xysp]"	[IDX2]	18 1E xb ee ff	3	5
EMIND	oprx0_xysp	IDX	18 1B xb	1	3
EMIND	"oprx9,xysp"	IDX1	18 1B xb ff	2	4
EMIND	"oprx16,xysp"	IDX2	18 1B xb ee ff	3	5
EMIND	"[D,xysp]"	"[D,IDX]"	18 1B xb	1	3
EMIND	"[oprx16,xysp]"	[IDX2]	18 1B xb ee ff	3	5
EMINM	oprx0_xysp	IDX	18 1F xb	1	3
EMINM	"oprx9,xysp"	IDX1	18 1F xb ff	2	4
EMINM	"oprx16,xysp"	IDX2	18 1F xb ee ff	3	5
EMINM	"[D,xysp]"	"[D,IDX]"	18 1F xb	1	3
EMINM	"[oprx16,xysp"	[IDX2]	18 1F xb ee ff	3	5
EMUL	-	INH	13	0	1
EMULS	-	INH	18 13	0	2
EORA	#opr8i	IMM	88 ii	1	2
EORA	opr8a	DIR	98 dd	1	2
EORA	opr16a	EXT	B8 hh ll	2	3
EORA	oprx0_xysp	IDX	A8 xb	1	2
EORA	"oprx9,xysp"	IDX1	A8 xb ff	2	3
EORA	"oprx16,xysp"	IDX2	A8 xb ee ff	3	4
EORA	"[D,xysp]"	"[D,IDX]"	A8 xb	1	2
EORA	"[oprx16,xysp]"	[IDX2]	A8 xb ee ff	3	4
EORB	#opr8i	IMM	C8 ii	1	2
EORB	opr8a	DIR	D8 dd	1	2
EORB	opr16a	EXT	F8 hh ll	2	3
EORB	oprx0_xysp	IDX	E8 xb	1	2
EORB	"oprx9,xysp"	IDX1	E8 xb ff	2	3
EORB	"oprx16,xysp"	IDX2	E8 xb ee ff	3	4
EORB	"[D,xysp]"	"[D,IDX]"	E8 xb	1	2
EORB	"[oprx16,xysp]"	[IDX2]	E8 xb ee ff	3	4
ETBL	oprx_xysp	IDX	18 3F xb	1	3
EXG	"abcdxys, abcdxys"	INH	B7 eb	1	2
FDIV	-	INH	18 11	0	2
IBEQ	"abdxys, rel9"	"REL(9-bit)"	04 lb rr	2	3
IBNE	"abdxys, rel9"	"REL(9-bit)"	04 lb rr	2	3
IDIV	-	INH	18 10	0	2
IDIVS	-	INH	18 15	0	2
INC	opr16a	EXT	72 hh ll	2	3
INC	oprx0_xysp	IDX	62 xb	1	2
INC	"oprx9,xysp"	IDX1	62 xb ff	2	3
INC	"oprx16,xysp"	IDX2	62 xb ee ff	3	4
INC	"[D,xysp]"	"[D,IDX]"	62 xb	1	2
INC	"[oprx16,xysp"	[IDX2]	62 xb ee ff	3	4
INCA	-	INH	42	0	1
INCB	-	INH	52	0	1
INS	-	IDX	1B 81	0	2
INX	-	INH	0 8	0	1
INY	-	INH	0 2	0	1
JMP	opr16a	EXT	06 hh ll	2	3
JMP	oprx0_xysp	IDX	05 xb	1	2
JMP	"oprx9,xysp"	IDX1	05 xb ff	2	3
JMP	"oprx16,xysp"	IDX2	05 xb ee ff	3	4
JMP	"[D,xysp]"	"[D,IDX]"	05 xb	1	2
JMP	"[oprx16,xysp]"	[IDX2]	05 xb ee ff	3	4
JSR	opr8a	DIR	17 dd	1	2
JSR	opr16a	EXT	16 hh ll	2	3
JSR	oprx0_xysp	IDX	15 xb	1	2
JSR	"oprx9,xysp"	IDX1	15 xb ff	2	3
JSR	"oprx16,xysp"	IDX2	15 xb ee ff	3	4
JSR	"[D,xysp]"	"[D,IDX]"	15 xb	1	2
JSR	"[oprx16,xysp]"	[IDX2]	15 xb ee ff	3	4
