CODOP	Operandos	Addr. Mode	Source Form	Bytes por calcular	Total de Bytes
SBCB	" oprx9,xysp"	IDX1	E2 xb ff	2	3
SBCB	" oprx16,xysp"	IDX2	E2 xb ee ff	3	4
SBCB	"[D,xysp"	"[D,IDX]"	E2 xb	1	2
SBCB	"[oprx16,xysp]"	[IDX2]	E2 xb ee ff	3	4
SEC	-	IMM	14 01	0	2
SEI	-	IMM	14 10	0	2
SEV	-	IMM	14 02	0	2
SEX	" abc,dxys"	INH	B7 eb	1	2
STAA	opr8a	DIR	5A dd	1	2
STAA	opr16a	EXT	7A hh ll	2	3
STAA	oprx0_xysp	IDX	6A xb	1	2
STAA	"oprx9,xysp"	IDX1	6A xb ff	2	3
STAA	"oprx16,xysp"	IDX2	6A xb ee ff	3	4
STAA	"[D,xysp]"	"[D,IDX]"	6A xb	1	2
STAA	"[oprx16,xysp]"	[IDX2]	6A xb ee ff	3	4
STAB	opr8a	DIR	5B dd	1	2
STAB	opr16a	EXT	7B hh ll	2	3
STAB	oprx0_xysp	IDX	6B xb	1	2
STAB	"oprx9,xysp"	IDX1	6B xb ff	2	3
STAB	"oprx16,xysp"	IDX2	6B xb ee ff	3	4
STAB	"[D,xysp]"	"[D,IDX]"	6B xb	1	2
STAB	"[oprx16,xysp]"	[IDX2]	6B xb ee ff	3	4
STD	 opr8a	DIR	5C dd	1	2
STD	 opr16a	EXT	7C hh ll	2	3
STD	 oprx0_xysp	IDX	6C xb	1	2
STD	" oprx9,xysp"	IDX1	6C xb ff	2	3
STD	" oprx16,xysp"	IDX2	6C xb ee ff	3	4
STD	" [D,xysp]"	"[D,IDX]"	6C xb	1	2
STD	" [oprx16,xysp]"	[IDX2]	6C xb ee ff	3	4
STOP	-	INH	18 3E	0	2
STS	 opr8a	DIR	5F dd	1	2
STS	 opr16a	EXT	7F hh ll	2	3
STS	 oprx0_xysp	IDX	6F xb	1	2
STS	" oprx9,xysp"	IDX1	6F xb ff	2	3
STS	" oprx16,xysp"	IDX2	6F xb ee ff	3	4
STS	"[D,xysp]"	"[D,IDX]"	6F xb	1	2
STS	" [oprx16,xysp]"	[IDX2]	6F xb ee ff	3	4
STX	 opr8a	DIR	5E dd	1	2
STX	 opr16a	EXT	7E hh ll	2	3
STX	 oprx0_xysp	IDX	6E xb	1	1
STX	" oprx9,xysp"	IDX1	6E xb ff	2	3
STX	" oprx16,xysp"	IDX2	6E xb ee ff	3	4
STX	"[D,xysp]"	"[D,IDX]"	6E xb	1	2
STX	" [oprx16,xysp]"	[IDX2	6E xb ee ff	3	4
STY	 opr8a	DIR	5D dd	1	2
STY	 opr16a	EXT	7D hh ll	2	3
STY	 oprx0_xysp	IDX	6D xb	1	2
STY	" oprx9,xysp"	IDX1	6D xb ff	2	3
STY	" oprx16,xysp"	IDX2	6D xb ee ff	3	4
STY	"[D,xysp]"	"[D,IDX]"	6D xb	1	2
STY	" [oprx16,xysp]"	[IDX2]	6D xb ee ff	3	4
SUBA	#opr8i	IMM	80 ii	1	2
SUBA	 opr8a	DIR	90 dd	1	2
SUBA	 opr16a	EXT	B0 hh ll	2	3
SUBA	 oprx0_xysp	IDX	A0 xb	1	2
SUBA	" oprx9,xysp"	IDX1	A0 xb ff	2	3
SUBA	" oprx16,xysp"	IDX2	A0 xb ee ff	3	4
SUBA	"[D,xysp]"	"[D,IDX]"	A0 xb	1	2
SUBA	" [oprx16,xysp]"	[IDX2]	A0 xb ee ff	3	4
SUBB	#opr8i	IMM	C0 ii	1	2
SUBB	 opr8a	DIR	D0 dd	1	2
SUBB	 opr16a	EXT	F0 hh ll	2	3
SUBB	 oprx0_xysp	IDX	E0 xb	1	2
SUBB	" oprx9,xysp"	IDX1	E0 xb ff	2	3
SUBB	" oprx16,xysp"	IDX2	E0 xb ee ff	3	4
SUBB	"[D,xysp]"	"[D,IDX]"	E0 xb	1	2
SUBB	" [oprx16,xysp]"	[IDX2]	E0 xb ee ff	3	4
SUBD	#opr16i	IMM	83 jj kk	2	3
SUBD	 opr8a	DIR	93 dd	1	2
SUBD	 opr16a	EXT	B3 hh ll	2	3
SUBD	 oprx0_xysp	IDX	A3 xb	1	2
SUBD	" oprx9,xysp"	IDX1	A3 xb ff	2	3
SUBD	" oprx16,xysp"	IDX2	A3 xb ee ff	3	4
SUBD	"[D,xysp]"	"[D,IDX]"	A3 xb	1	2
SUBD	" [oprx16,xysp]"	[IDX2]	A3 xb ee ff	3	4
SWI	-	INH	3F	0	1
TAB	-	INH	18 0E	0	2
TAP	-	INH	B7 02	0	2
TBA	-	INH	18 0F	0	2
TBEQ	"abdxys,rel9"	REL (9-bit)	04 lb rr	2	3
TBL	oprx0_xysp	IDX	18 3D xb	1	3
TBNE	"abdxys,rel9"	"REL(9-bit)"	04 lb rr	2	3
TFR	"abcdxys,abcdxys"	INH	B7 eb	1	2
TPA	-	INH	B7 20	0	2
TRAP	trapnum	INH	18 tn	1	2
TST	 opr16a	EXT	F7 hh ll	2	3
TST	 oprx0_xysp	IDX	E7 xb	1	2
TST	" oprx9,xysp"	IDX1	E7 xb ff	2	3
TST	" oprx16,xysp"	IDX2	E7 xb ee ff	3	4
TST	"[D,xysp]"	"[D,IDX]"	E7 xb	1	2
TST	" [oprx16,xysp]"	[IDX2]	E7 xb ee ff	3	4
TSTA	-	INH	97	0	1
TSTB	-	INH	D7	0	1
TSX	-	INH	B7 75	0	2
TSY	-	INH	B7 76	0	2
TXS	-	INH	B7 57	0	2
TYS	-	INH	B7 67	0	2
WAI	-	INH	3E	0	1
WAV	-	Special	18 3C	0	2
XGDX	-	INH	B7 C5	0	2
XGDY	-	INH	B7 C6	0	2
ORG	-	DIRECT	-	-	0
END	-	DIRECT	-	-	0
EQU	-	DIRECT	-	-	0
DC.B	-	-	-	-	-
DC.W	-	-	-	-	-
DS.B	-	-	-	-	-
DS.W	-	-	-	-	-
